filename,chip_id,satellite,split,month,size,cksum,s3path_us,s3path_eu,s3path_as,corresponding_agbm
0003d2eb_S1_00.tif,0003d2eb,S1,train,September,1049524,3953454613,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_00.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_00.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_00.tif,0003d2eb_agbm.tif
0003d2eb_S1_01.tif,0003d2eb,S1,train,October,1049524,3531005382,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_01.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_01.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_01.tif,0003d2eb_agbm.tif
0003d2eb_S1_02.tif,0003d2eb,S1,train,November,1049524,1401197002,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_02.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_02.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_02.tif,0003d2eb_agbm.tif
0003d2eb_S1_03.tif,0003d2eb,S1,train,December,1049524,3253084255,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_03.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_03.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_03.tif,0003d2eb_agbm.tif
0003d2eb_S1_04.tif,0003d2eb,S1,train,January,1049524,2467836265,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_04.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_04.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_04.tif,0003d2eb_agbm.tif
0003d2eb_S1_05.tif,0003d2eb,S1,train,February,1049524,2955837881,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_05.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_05.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_05.tif,0003d2eb_agbm.tif
0003d2eb_S1_06.tif,0003d2eb,S1,train,March,1049524,938913233,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_06.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_06.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_06.tif,0003d2eb_agbm.tif
0003d2eb_S1_07.tif,0003d2eb,S1,train,April,1049524,225964894,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_07.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_07.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_07.tif,0003d2eb_agbm.tif
0003d2eb_S1_08.tif,0003d2eb,S1,train,May,1049524,135181958,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_08.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_08.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_08.tif,0003d2eb_agbm.tif
0003d2eb_S1_09.tif,0003d2eb,S1,train,June,1049524,2451157738,s3://drivendata-competition-biomassters-public-us/train_features/0003d2eb_S1_09.tif,s3://drivendata-competition-biomassters-public-eu/train_features/0003d2eb_S1_09.tif,s3://drivendata-competition-biomassters-public-as/train_features/0003d2eb_S1_09.tif,0003d2eb_agbm.tif
